County name,County code
Adams County,001
Allen County,003
Ashland County,005
Ashtabula County,007
Athens County,009
Auglaize County,011
Belmont County,013
Brown County,015
Butler County,017
Carroll County,019
Champaign County,021
Clark County,023
Clermont County,025
Clinton County,027
Columbiana County,029
Coshocton County,031
Crawford County,033
Cuyahoga County,035
Darke County,037
Defiance County,039
Delaware County,041
Erie County,043
Fairfield County,045
Fayette County,047
Franklin County,049
Fulton County,051
Gallia County,053
Geauga County,055
Greene County,057
Guernsey County,059
Hamilton County,061
Hancock County,063
Hardin County,065
Harrison County,067
Henry County,069
Highland County,071
Hocking County,073
Holmes County,075
Huron County,077
Jackson County,079
Jefferson County,081
Knox County,083
Lake County,085
Lawrence County,087
Licking County,089
Logan County,091
Lorain County,093
Lucas County,095
Madison County,097
Mahoning County,099
Marion County,101
Medina County,103
Meigs County,105
Mercer County,107
Miami County,109
Monroe County,111
Montgomery County,113
Morgan County,115
Morrow County,117
Muskingum County,119
Noble County,121
Ottawa County,123
Paulding County,125
Perry County,127
Pickaway County,129
Pike County,131
Portage County,133
Preble County,135
Putnam County,137
Richland County,139
Ross County,141
Sandusky County,143
Scioto County,145
Seneca County,147
Shelby County,149
Stark County,151
Summit County,153
Trumbull County,155
Tuscarawas County,157
Union County,159
Van Wert County,161
Vinton County,163
Warren County,165
Washington County,167
Wayne County,169
Williams County,171
Wood County,173
Wyandot County,175
